pair,month,minutes,hole,crossed_minutes,bid_match,ask_match,quality,included,triangulation_pips
AUDUSD,2019-08,31457,False,0,1.0,1.0,True,True,
AUDUSD,2019-09,30379,False,0,0.998,0.998,True,True,
AUDUSD,2019-10,33085,False,0,1.0,1.0,True,True,
AUDUSD,2019-11,30015,False,0,1.0,1.0,True,True,
AUDUSD,2019-12,30425,False,0,0.998,0.998,True,True,
AUDUSD,2020-01,31630,False,0,1.0,1.0,True,True,
AUDUSD,2020-02,28714,False,0,1.0,1.0,True,True,
AUDUSD,2020-03,31761,False,0,1.0,1.0,True,True,
AUDUSD,2020-04,31601,False,0,1.0,1.0,True,True,
AUDUSD,2020-05,30137,False,0,1.0,1.0,True,True,
AUDUSD,2020-06,31594,False,0,1.0,1.0,True,True,
AUDUSD,2020-07,32793,False,0,1.0,1.0,True,True,
AUDUSD,2020-08,30241,False,0,1.0,1.0,True,True,
AUDUSD,2020-09,31355,False,0,1.0,1.0,True,True,
AUDUSD,2020-10,31227,False,0,1.0,1.0,True,True,
AUDUSD,2020-11,29042,False,0,1.0,1.0,True,True,
AUDUSD,2020-12,31721,False,0,0.9981,0.9981,True,True,
AUDUSD,2021-01,28719,False,0,1.0,1.0,True,True,
AUDUSD,2021-02,28547,False,0,1.0,1.0,True,True,
AUDUSD,2021-03,32895,False,0,1.0,1.0,True,True,
AUDUSD,2021-04,31227,False,0,1.0,1.0,True,True,
AUDUSD,2021-05,28895,False,0,1.0,1.0,True,True,
AUDUSD,2021-06,31202,False,0,1.0,1.0,True,True,
AUDUSD,2021-07,31260,False,0,1.0,1.0,True,True,
AUDUSD,2021-08,31397,False,0,1.0,1.0,True,True,
AUDUSD,2021-09,31296,False,0,1.0,1.0,True,True,
AUDUSD,2021-10,30061,False,0,1.0,1.0,True,True,
AUDUSD,2021-11,31461,False,0,1.0,1.0,True,True,
AUDUSD,2021-12,32725,False,0,1.0,1.0,True,True,
AUDUSD,2022-01,30115,False,0,1.0,1.0,True,True,
AUDUSD,2022-02,28687,False,0,1.0,1.0,True,True,
AUDUSD,2022-03,32956,False,0,1.0,1.0,True,True,
AUDUSD,2022-04,29891,False,0,1.0,1.0,True,True,
AUDUSD,2022-05,31629,False,0,0.9981,0.9981,True,True,
AUDUSD,2022-06,31358,False,0,0.9962,0.9962,True,True,
AUDUSD,2022-07,30090,False,0,1.0,1.0,True,True,
AUDUSD,2022-08,32913,False,0,1.0,1.0,True,True,
AUDUSD,2022-09,31280,False,0,1.0,1.0,True,True,
AUDUSD,2022-10,30181,False,0,0.996,0.996,True,True,
AUDUSD,2022-11,31359,False,0,0.9943,0.9943,True,True,
AUDUSD,2022-12,31037,False,0,1.0,1.0,True,True,
AUDUSD,2023-01,31358,False,0,1.0,1.0,True,True,
AUDUSD,2023-02,25710,True,0,1.0,1.0,True,False,
AUDUSD,2023-03,23380,True,0,0.9974,0.9974,True,False,
AUDUSD,2023-04,19378,True,0,0.9938,0.9938,True,False,
AUDUSD,2023-05,23264,True,0,1.0,1.0,True,False,
AUDUSD,2023-06,22199,True,0,1.0,1.0,True,False,
AUDUSD,2023-07,21985,True,0,0.9946,0.9946,True,False,
AUDUSD,2023-08,32956,False,0,1.0,1.0,True,True,
AUDUSD,2023-09,29737,False,0,0.984,0.984,False,False,
AUDUSD,2023-10,31745,False,0,1.0,1.0,True,True,
AUDUSD,2023-11,31463,False,0,1.0,1.0,True,True,
AUDUSD,2023-12,28915,False,0,0.9918,0.9938,True,True,
AUDUSD,2024-01,31610,False,0,1.0,1.0,True,True,
AUDUSD,2024-02,30056,False,0,1.0,1.0,True,True,
AUDUSD,2024-03,29934,False,0,1.0,1.0,True,True,
AUDUSD,2024-04,31477,False,0,1.0,1.0,True,True,
AUDUSD,2024-05,32595,False,0,1.0,1.0,True,True,
AUDUSD,2024-06,28647,False,0,1.0,1.0,True,True,
AUDUSD,2024-07,32677,False,0,1.0,1.0,True,True,
AUDUSD,2024-08,31351,False,0,1.0,1.0,True,True,
AUDUSD,2024-09,30146,False,0,1.0,1.0,True,True,
AUDUSD,2024-10,31988,False,0,1.0,1.0,True,True,
AUDUSD,2024-11,29959,False,0,1.0,1.0,True,True,
AUDUSD,2024-12,30251,False,0,0.998,0.998,True,True,
AUDUSD,2025-01,31563,False,0,1.0,1.0,True,True,
AUDUSD,2025-02,28643,False,0,0.9979,0.9979,True,True,
AUDUSD,2025-03,30207,False,0,0.998,0.998,True,True,
AUDUSD,2025-04,31493,False,0,0.9981,0.9981,True,True,
AUDUSD,2025-05,31330,False,0,1.0,1.0,True,True,
AUDUSD,2025-06,30247,False,0,1.0,1.0,True,True,
AUDUSD,2025-07,32942,False,0,1.0,1.0,True,True,
AUDUSD,2025-08,30026,False,0,1.0,1.0,True,True,
AUDUSD,2025-09,31456,False,0,1.0,1.0,True,True,
AUDUSD,2025-10,32777,False,0,0.9982,0.9982,True,True,
AUDUSD,2025-11,28799,False,0,1.0,1.0,True,True,
AUDUSD,2025-12,31679,False,0,1.0,1.0,True,True,
AUDUSD,2026-01,30103,False,0,1.0,1.0,True,True,
AUDUSD,2026-02,28695,False,0,1.0,1.0,True,True,
AUDUSD,2026-03,31730,False,0,1.0,1.0,True,True,
AUDUSD,2026-04,31506,False,0,0.9981,0.9981,True,True,
AUDUSD,2026-05,29587,False,0,1.0,1.0,True,True,
AUDUSD,2026-06,31529,False,0,1.0,1.0,True,True,
AUDUSD,2026-07,32749,False,0,1.0,0.9982,True,True,
AUDUSD,2026-08,30183,False,0,1.0,1.0,True,True,
AUDUSD,2026-09,240,True,0,0.0,0.0,False,False,
NZDUSD,2019-01,31773,False,0,1.0,1.0,True,True,
NZDUSD,2019-02,28786,False,0,1.0,1.0,True,True,
NZDUSD,2019-03,30164,False,0,1.0,1.0,True,True,
NZDUSD,2019-04,31620,False,0,1.0,1.0,True,True,
NZDUSD,2019-05,32127,False,0,1.0,1.0,True,True,
NZDUSD,2019-06,28932,False,0,1.0,1.0,True,True,
NZDUSD,2019-07,33020,False,0,1.0,1.0,True,True,
NZDUSD,2019-08,31417,False,0,1.0,1.0,True,True,
NZDUSD,2019-09,30374,False,0,0.998,0.998,True,True,
NZDUSD,2019-10,33077,False,0,1.0,1.0,True,True,
NZDUSD,2019-11,30035,False,0,1.0,1.0,True,True,
NZDUSD,2019-12,30632,False,0,0.9981,0.9981,True,True,
NZDUSD,2020-01,31593,False,0,1.0,1.0,True,True,
NZDUSD,2020-02,28726,False,0,0.9979,0.9979,True,True,
NZDUSD,2020-03,31754,False,0,1.0,1.0,True,True,
NZDUSD,2020-04,31558,False,0,1.0,1.0,True,True,
NZDUSD,2020-05,30175,False,0,1.0,1.0,True,True,
NZDUSD,2020-06,31591,False,0,1.0,1.0,True,True,
NZDUSD,2020-07,32793,False,0,1.0,1.0,True,True,
NZDUSD,2020-08,30273,False,0,1.0,1.0,True,True,
NZDUSD,2020-09,31375,False,0,1.0,1.0,True,True,
NZDUSD,2020-10,31174,False,0,1.0,1.0,True,True,
NZDUSD,2020-11,28924,False,0,1.0,1.0,True,True,
NZDUSD,2020-12,31407,False,0,0.9981,0.9981,True,True,
NZDUSD,2021-01,28460,False,0,1.0,1.0,True,True,
NZDUSD,2021-02,28490,False,0,1.0,1.0,True,True,
NZDUSD,2021-03,32810,False,0,1.0,1.0,True,True,
NZDUSD,2021-04,31005,False,0,1.0,1.0,True,True,
NZDUSD,2021-05,28748,False,0,1.0,1.0,True,True,
NZDUSD,2021-06,31195,False,0,1.0,1.0,True,True,
NZDUSD,2021-07,31152,False,0,1.0,1.0,True,True,
NZDUSD,2021-08,31385,False,0,1.0,1.0,True,True,
NZDUSD,2021-09,31413,False,0,1.0,1.0,True,True,
NZDUSD,2021-10,30072,False,0,1.0,1.0,True,True,
NZDUSD,2021-11,31446,False,0,1.0,1.0,True,True,
NZDUSD,2021-12,32798,False,0,1.0,1.0,True,True,
NZDUSD,2022-01,30200,False,0,1.0,1.0,True,True,
NZDUSD,2022-02,28668,False,0,1.0,1.0,True,True,
NZDUSD,2022-03,32864,False,0,1.0,1.0,True,True,
NZDUSD,2022-04,29754,False,0,1.0,1.0,True,True,
NZDUSD,2022-05,31544,False,0,1.0,1.0,True,True,
NZDUSD,2022-06,31341,False,0,0.9962,0.9962,True,True,
NZDUSD,2022-07,30020,False,0,1.0,1.0,True,True,
NZDUSD,2022-08,32829,False,0,1.0,1.0,True,True,
NZDUSD,2022-09,31200,False,0,1.0,1.0,True,True,
NZDUSD,2022-10,30005,False,0,0.9941,0.9941,True,True,
NZDUSD,2022-11,31303,False,0,0.9943,0.9943,True,True,
NZDUSD,2022-12,30632,False,0,1.0,1.0,True,True,
NZDUSD,2023-01,30815,False,0,1.0,1.0,True,True,
NZDUSD,2023-02,25610,True,0,1.0,1.0,True,False,
NZDUSD,2023-03,23325,True,0,0.9974,0.9974,True,False,
NZDUSD,2023-04,19730,True,0,0.9939,0.9939,True,False,
NZDUSD,2023-05,23239,True,0,1.0,1.0,True,False,
NZDUSD,2023-06,22238,True,0,1.0,1.0,True,False,
NZDUSD,2023-07,21733,True,0,0.9945,0.9945,True,False,
NZDUSD,2023-08,32893,False,0,1.0,1.0,True,True,
NZDUSD,2023-09,29678,False,0,0.984,0.984,False,False,
NZDUSD,2023-10,31643,False,0,1.0,1.0,True,True,
NZDUSD,2023-11,31410,False,0,1.0,1.0,True,True,
NZDUSD,2023-12,28659,False,0,0.9917,0.9917,True,True,
NZDUSD,2024-01,31686,False,0,1.0,1.0,True,True,
NZDUSD,2024-02,30072,False,0,1.0,1.0,True,True,
NZDUSD,2024-03,29666,False,0,1.0,1.0,True,True,
NZDUSD,2024-04,31367,False,0,1.0,1.0,True,True,
NZDUSD,2024-05,32352,False,0,1.0,1.0,True,True,
NZDUSD,2024-06,28613,False,0,1.0,1.0,True,True,
NZDUSD,2024-07,32719,False,0,1.0,1.0,True,True,
NZDUSD,2024-08,31353,False,0,1.0,1.0,True,True,
NZDUSD,2024-09,30164,False,0,1.0,1.0,True,True,
NZDUSD,2024-10,33011,False,0,1.0,1.0,True,True,
NZDUSD,2024-11,29076,False,0,1.0,1.0,True,True,
NZDUSD,2024-12,30248,False,0,0.9961,0.9961,True,True,
NZDUSD,2025-01,31537,False,0,1.0,1.0,True,True,
NZDUSD,2025-02,28681,False,0,0.9979,0.9979,True,True,
NZDUSD,2025-03,30183,False,0,0.998,0.998,True,True,
NZDUSD,2025-04,31499,False,0,0.9981,0.9981,True,True,
NZDUSD,2025-05,31342,False,0,1.0,1.0,True,True,
NZDUSD,2025-06,30288,False,0,1.0,1.0,True,True,
NZDUSD,2025-07,32928,False,0,1.0,1.0,True,True,
NZDUSD,2025-08,30099,False,0,1.0,1.0,True,True,
NZDUSD,2025-09,31469,False,0,1.0,1.0,True,True,
NZDUSD,2025-10,32741,False,0,0.9982,0.9982,True,True,
NZDUSD,2025-11,28785,False,0,1.0,1.0,True,True,
NZDUSD,2025-12,31524,False,0,1.0,1.0,True,True,
NZDUSD,2026-01,30143,False,0,1.0,1.0,True,True,
